Identifier,Malloc cycles,Free cycles,Outside cycles,frag at WMF,WMF,time
Th0, 7128696,56217081,57626718,82.015%,241550,37245494
FF0, 7148216,59373510,48773748,59.812%,238484,30803083
Occ0,6891723,42122169,59166620,81.778%,238412,36815230
Th1, 12243797,58409346,59579448,82.015%,241550,43772340
FF1, 8076860,126816324,56706990,59.812%,238484,32141773
Occ1,7581377,69209245,63928516,81.778%,238412,39642806
Th2, 6541644,34112540,57431095,63.349%,241058,36228517
FF2, 7194603,58234704,48561622,58.169%,238487,30783327
Occ2,7498708,34883744,59005738,81.763%,238208,37312599

heapBase10 = 269484032#Architecutre 1 memory bank 0
heapBase11 = 269615104#Architecutre 1 memory bank 1

heapBase20 = 269484032#Architecutre 2 memory bank 0
heapBase21 = 269516800#Architecutre 2 memory bank 1
heapBase22 = 269615104#Architecutre 2 memory bank 2


threshold0 = 50
threshold1 = 50
threshold21 = 32
threshold22 = 64

Total heap size 384 KB
